horizon,mae,rmse,n_samples
1,17.127756078551386,30.479792594292324,2879
2,20.183611761214404,33.747512199764884,2878
3,21.499734390866923,35.14698790936019,2877
4,22.56419355202608,36.246086740648956,2876
5,23.609103940334272,37.375880667133956,2875
6,24.320921502199553,38.06277758436936,2874
7,24.87006850624919,38.55113365117896,2873
8,25.410519560916146,38.941404254099574,2872
9,25.750549838832466,39.09875151954062,2871
10,26.112195672925584,39.18195887030431,2870
11,26.450115687714316,39.3515494305227,2869
12,26.67831210635807,39.37992848132124,2868
13,26.838774287574413,39.34795665348223,2867
14,27.093292830440625,39.536319278722225,2866
15,27.19795513910322,39.57155327297461,2865
16,27.237912544565265,39.52196658795085,2864
17,27.149836945874476,39.45338527799249,2863
18,27.174821804237574,39.41032697502569,2862
19,27.269074012803834,39.516114431763945,2861
20,27.333013765733185,39.53377831345312,2860
21,27.27708295434701,39.50929605464077,2859
22,27.179172341285902,39.47143914245377,2858
23,27.134052512001183,39.44092125524143,2857
24,27.20137493353625,39.512992453977,2856
