horizon,mae,rmse,n_samples
1,17.129144239182427,30.492076929939035,2879
2,20.177594776786794,33.7411418638674,2878
3,21.49840452521407,35.14734923826474,2877
4,22.56349151280311,36.241345022270536,2876
5,23.611161814264882,37.37853014285256,2875
6,24.31732654104691,38.061373739737974,2874
7,24.863702923445622,38.551248964382154,2873
8,25.418238932592345,38.939631274152326,2872
9,25.749039390565216,39.108174282795275,2871
10,26.10791607870967,39.18973047178513,2870
11,26.44009322080758,39.353934345564745,2869
12,26.673505058013724,39.381651580003705,2868
13,26.833242944834176,39.35403978758137,2867
14,27.090053895778414,39.543306624471946,2866
15,27.191015456188584,39.57774027755965,2865
16,27.236456105327488,39.52982817251521,2864
17,27.164134507573245,39.47155573431759,2863
18,27.18457046246486,39.41372980000911,2862
19,27.26974228658395,39.516480490300786,2861
20,27.334695053701093,39.53663848780653,2860
21,27.296498386182105,39.51904537910075,2859
22,27.189703661007243,39.47197844141981,2858
23,27.139980771030572,39.44213350678222,2857
24,27.20727938935148,39.514743492256,2856
