horizon,auc,log_loss,brier,n_samples
1,0.9546425792810265,0.24487804597230112,0.07405226892627854,2879
2,0.9248974951543164,0.3092573292288685,0.0959912697215804,2878
3,0.9140344198233101,0.3301786391787254,0.1030612238777155,2877
4,0.8975996671325814,0.35585978352215464,0.11197883314367134,2876
5,0.8561683650112328,0.4144163175975988,0.13095757297877586,2875
6,0.8306028948144152,0.44456379089842324,0.1416536852263319,2874
7,0.8201902331951297,0.4558967334539183,0.14567058729615662,2873
8,0.8086960823358205,0.4675666428143821,0.15036595177919254,2872
9,0.7841990552113235,0.49139150979616647,0.15870462681709782,2871
10,0.7674580093625057,0.5055167499427866,0.16400633686039334,2870
11,0.7576866350060165,0.5132524056658341,0.16709985002222402,2869
12,0.7522423670129053,0.5172560335266096,0.16891867978216893,2868
13,0.7434817086931143,0.5238724155691368,0.171140883206362,2867
14,0.7385751364671544,0.5315674447888928,0.1742253144417058,2866
15,0.7341686544731016,0.5367137121911291,0.1765021078432838,2865
16,0.7377894568957006,0.5340708130200905,0.1755687084515968,2864
17,0.7269812600211673,0.5362403920680244,0.17658346360236438,2863
18,0.7214543543817966,0.5407436055041211,0.17853845765895707,2862
19,0.71142307746077,0.5460212027521011,0.18091778390001548,2861
20,0.7138759293337305,0.5431802093387812,0.17984976168809177,2860
21,0.7135152838149708,0.5408740838125153,0.1790289062708024,2859
22,0.7116836383125335,0.5445746225424443,0.18055479241190772,2858
23,0.7046068175225946,0.5494431885659409,0.18290911976169577,2857
24,0.7004294075046511,0.5515707831938242,0.18396425582674988,2856
