horizon,mae,rmse,n_samples
1,14.791598463688967,29.040406243409972,2879
2,18.8290979817917,32.79849920700308,2878
3,20.364110797302057,34.38495023457712,2877
4,21.33629074925056,35.290158960584826,2876
5,22.368241613810323,36.216512013996194,2875
6,23.34396851126245,36.90728961716035,2874
7,23.426263737930473,36.99226721709243,2873
8,24.130940700132864,37.72148997762292,2872
9,24.391848859487364,37.83744034221035,2871
10,24.777338433006044,38.229247960806376,2870
11,25.012332405789714,38.18097375038218,2869
12,24.965937854001712,38.14852205373082,2868
13,25.2554281258213,38.21757311603627,2867
14,25.76058008177151,38.55445867774533,2866
15,26.002479107310506,38.376325651839615,2865
16,25.81847706477211,38.65931127919536,2864
17,26.01971669831744,38.98330136405611,2863
18,25.858755648375347,38.68709993734405,2862
19,26.222930603952353,38.80477383415612,2861
20,26.18828998378482,39.046108226371175,2860
21,26.048657814454682,38.94973575415977,2859
22,26.01798534323336,38.54031381668114,2858
23,25.862394505672704,38.483990276313314,2857
24,25.81926003243776,38.44156314246838,2856
