horizon,auc,log_loss,brier,n_samples
1,0.962356325048176,0.22266047154704688,0.06802587236158776,2879
2,0.9283528403160877,0.2957289609596523,0.09349222835143987,2878
3,0.9152704530214075,0.3187580515093373,0.10150682443871469,2877
4,0.897627696761768,0.346632494616597,0.10983225551422075,2876
5,0.8614137112477438,0.3973489252890281,0.12697504835377812,2875
6,0.8376082307857569,0.42205814324773966,0.13611919366802597,2874
7,0.8286562982696408,0.43470324742428657,0.14064427984817873,2873
8,0.8162572668775658,0.4445341786476426,0.14419382609615636,2872
9,0.7992468276092984,0.4618951597347162,0.14998746117308676,2871
10,0.7843989838868464,0.4763856776929077,0.15429646479203837,2870
11,0.7731975873528403,0.4854477350712427,0.1585797293814397,2869
12,0.7689682090022033,0.4915833066701171,0.1607040203834995,2868
13,0.7562636237677935,0.49954640708432857,0.16313418216430003,2867
14,0.7497449919962835,0.506380851792613,0.1654842974067354,2866
15,0.747123527158682,0.5112662468336067,0.16727264358539848,2865
16,0.7259719448009783,0.5238818315190747,0.17297711100140958,2864
17,0.7265731252099296,0.5245083705162881,0.17298877374826419,2863
18,0.7214207205011829,0.5222573234440897,0.1721295423236997,2862
19,0.7192995499703242,0.5227700818243326,0.17185040943031316,2861
20,0.7176110809923413,0.5289451442886636,0.17436761897639663,2860
21,0.6952087307685937,0.5414610519184442,0.18029015678763927,2859
22,0.7008562386749356,0.5372300011834709,0.17783745168504447,2858
23,0.6882504622406564,0.5451825625500925,0.18100330659887123,2857
24,0.6741672232586348,0.5540059674092791,0.18499886033956528,2856
